Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1770733702708,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.85367584228516,66.95999908447266,72.38709259033203,71.9863052368164,73.41336822509766,72.57667541503906,67.62213897705078,69.3305435180664,68.66767883300781,68.36310577392578,5.263157844543457,5.263157844543457,75,75,70,65,55,33.333335876464844,28.571430206298828,0,24.007715225219727,17179869184,12884901888,13653491712,11823415296
201,1770733702908,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.85367584228516,66.95999908447266,72.38709259033203,71.9863052368164,73.41336822509766,72.57667541503906,67.62213897705078,69.3305435180664,68.66767883300781,68.36310577392578,10,14.285715103149414,73.68421173095703,73.68421173095703,68.42105102539063,68.42105102539063,52.6315803527832,42.105262756347656,31.57894515991211,15.000000953674316,24.007715225219727,17179869184,12884901888,13654573056,11823415296
201,1770733703110,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.74703979492188,66.91600799560547,72.4528579711914,71.79657745361328,73.06470489501953,72.5597152709961,67.27111053466797,69.25895690917969,68.58692169189453,68.05987548828125,15.000000953674316,10,78.94737243652344,70,71.42857360839844,65,55,33.333335876464844,26.3157901763916,10,24.007715225219727,17179869184,12884901888,13656096768,11823415296
203,1770733703311,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.74703979492188,66.91600799560547,72.4528579711914,71.79657745361328,73.06470489501953,72.5597152709961,67.27111053466797,69.25895690917969,68.58692169189453,68.05987548828125,20,20,75,75,68.42105102539063,68.42105102539063,55,40,25,5,24.007715225219727,17179869184,12884901888,13657915392,11823415296
200,1770733703514,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.74703979492188,66.91600799560547,72.4528579711914,71.79657745361328,73.06470489501953,72.5597152709961,67.27111053466797,69.25895690917969,68.58692169189453,68.05987548828125,10.526315689086914,10.526315689086914,76.19047546386719,73.68421173095703,73.68421173095703,66.66667175292969,55,42.105262756347656,28.571430206298828,5,23.479480743408203,17179869184,12884901888,13660569600,11823415296
201,1770733703714,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.74703979492188,66.91600799560547,72.4528579711914,71.79657745361328,73.06470489501953,72.5597152709961,67.27111053466797,69.25895690917969,68.58692169189453,68.05987548828125,14.285715103149414,15.000000953674316,78.94737243652344,75,75,68.42105102539063,50,30.000001907348633,30.000001907348633,5,23.479480743408203,17179869184,12884901888,13663682560,11823415296
204,1770733703916,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.74703979492188,66.91600799560547,72.4528579711914,71.79657745361328,73.06470489501953,72.5597152709961,67.27111053466797,69.25895690917969,68.58692169189453,68.05987548828125,5,9.523809432983398,73.68421173095703,75,70,70,52.38095474243164,35,21.052631378173828,5,23.479480743408203,17179869184,12884901888,13664780288,11823415296
204,1770733704121,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.67273712158203,66.88056182861328,72.16981506347656,71.83219909667969,72.86890411376953,72.25675201416016,67.46095275878906,69.19064331054688,68.76904296875,67.90374755859375,15.000000953674316,15.000000953674316,80,76.19047546386719,75,70,60.000003814697266,45,30.000001907348633,20,23.479480743408203,17179869184,12884901888,13664256000,11823415296
204,1770733704326,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.67273712158203,66.88056182861328,72.16981506347656,71.83219909667969,72.86890411376953,72.25675201416016,67.46095275878906,69.19064331054688,68.76904296875,67.90374755859375,30.000001907348633,25,80,77.77777862548828,78.94737243652344,68.42105102539063,60.000003814697266,50,40,20,23.479480743408203,17179869184,12884901888,13682491392,11823415296
204,1770733704531,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.67273712158203,66.88056182861328,72.16981506347656,71.83219909667969,72.86890411376953,72.25675201416016,67.46095275878906,69.19064331054688,68.76904296875,67.90374755859375,23.809524536132813,25,90,90,85,80,80,45,45,25,23.189085006713867,17179869184,12884901888,13690781696,11815026688
