Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1770733641667,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.95199584960938,71.97600555419922,75.19862365722656,75.36782836914063,77.15503692626953,77.27222442626953,72.98805236816406,75.29351806640625,77.22980499267578,77.20729064941406,100,100,100,100,100,100,100,100,100,100,24.834238052368164,17179869184,12884901888,13523582976,11890524160
203,1770733641872,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.95199584960938,71.97600555419922,75.19862365722656,75.36782836914063,77.15503692626953,77.27222442626953,72.98805236816406,75.29351806640625,77.22980499267578,77.20729064941406,100,100,100,100,100,100,100,100,100,100,24.834238052368164,17179869184,12884901888,13523582976,11890524160
203,1770733642075,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97003936767578,71.9023666381836,74.99090576171875,75.18556213378906,77.18168640136719,77.13756561279297,72.88270568847656,74.8577880859375,77.0334243774414,77.24214172363281,100,100,100,100,100,100,100,100,100,100,24.834238052368164,17179869184,12884901888,13523582976,11890524160
202,1770733642279,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97003936767578,71.9023666381836,74.99090576171875,75.18556213378906,77.18168640136719,77.13756561279297,72.88270568847656,74.8577880859375,77.0334243774414,77.24214172363281,100,100,100,100,100,100,100,100,100,100,24.834238052368164,17179869184,12884901888,13523582976,11890524160
204,1770733642482,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97003936767578,71.9023666381836,74.99090576171875,75.18556213378906,77.18168640136719,77.13756561279297,72.88270568847656,74.8577880859375,77.0334243774414,77.24214172363281,100,100,100,100,100,100,100,100,100,100,24.834238052368164,17179869184,12884901888,13508984832,11890524160
202,1770733642687,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97003936767578,71.9023666381836,74.99090576171875,75.18556213378906,77.18168640136719,77.13756561279297,72.88270568847656,74.8577880859375,77.0334243774414,77.24214172363281,100,100,100,100,100,100,100,100,100,100,25.343687057495117,17179869184,12884901888,13506396160,11890524160
201,1770733642890,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97003936767578,71.9023666381836,74.99090576171875,75.18556213378906,77.18168640136719,77.13756561279297,72.88270568847656,74.8577880859375,77.0334243774414,77.24214172363281,100,100,100,100,100,100,100,100,100,100,25.343687057495117,17179869184,12884901888,13502513152,11890524160
203,1770733643091,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.00971984863281,71.81643676757813,75.11283874511719,75.42245483398438,77.45280456542969,77.19788360595703,72.97480773925781,74.82429504394531,76.91465759277344,77.05276489257813,100,100,100,100,100,100,100,100,100,100,25.343687057495117,17179869184,12884901888,13507903488,11890524160
202,1770733643295,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.00971984863281,71.81643676757813,75.11283874511719,75.42245483398438,77.45280456542969,77.19788360595703,72.97480773925781,74.82429504394531,76.91465759277344,77.05276489257813,100,100,100,100,100,100,100,100,100,100,25.343687057495117,17179869184,12884901888,13499236352,11890524160
205,1770733643497,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.00971984863281,71.81643676757813,75.11283874511719,75.42245483398438,77.45280456542969,77.19788360595703,72.97480773925781,74.82429504394531,76.91465759277344,77.05276489257813,100,100,100,100,100,100,100,100,100,100,25.343687057495117,17179869184,12884901888,13494714368,11890524160
204,1770733643704,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.00971984863281,71.81643676757813,75.11283874511719,75.42245483398438,77.45280456542969,77.19788360595703,72.97480773925781,74.82429504394531,76.91465759277344,77.05276489257813,100,100,100,100,100,100,100,100,100,100,24.452049255371094,17179869184,12884901888,13496156160,11890524160
203,1770733643908,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.00971984863281,71.81643676757813,75.11283874511719,75.42245483398438,77.45280456542969,77.19788360595703,72.97480773925781,74.82429504394531,76.91465759277344,77.05276489257813,100,100,100,100,100,100,100,100,100,100,24.452049255371094,17179869184,12884901888,13497860096,11890524160
204,1770733644111,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.02732849121094,71.95199584960938,75.28487396240234,75.67295837402344,77.67628479003906,77.39720916748047,72.88041687011719,74.93138122558594,76.98145294189453,77.17723083496094,100,100,100,100,100,100,100,100,100,100,24.452049255371094,17179869184,12884901888,13500219392,11890524160
199,1770733644317,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.02732849121094,71.95199584960938,75.28487396240234,75.67295837402344,77.67628479003906,77.39720916748047,72.88041687011719,74.93138122558594,76.98145294189453,77.17723083496094,100,100,100,100,100,100,100,100,100,100,24.452049255371094,17179869184,12884901888,13500973056,11890524160
204,1770733644517,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.02732849121094,71.95199584960938,75.28487396240234,75.67295837402344,77.67628479003906,77.39720916748047,72.88041687011719,74.93138122558594,76.98145294189453,77.17723083496094,100,100,100,100,100,100,100,100,100,100,26.117965698242188,17179869184,12884901888,13501661184,11890524160
